교통수단,방한 외래관광객(명),비중(%)
기타항구,2065.0,0.7
제주항구,5312.0,1.8
인천항구,2136.0,0.7
부산항구,13814.0,4.8
기타공항,1021.0,0.4
제주공항,1131.0,0.4
김포공항,8365.0,2.9
김해공항,9482.0,3.3
인천공항,245172.0,85.0
