연령대,남성,여성,남성(비율),여성(비율)
61세 이상,10642.0,13022.0,4.3,5.3
51~60세,14657.0,14310.0,6.0,5.8
41~50세,21347.0,15430.0,8.7,6.3
31~40세,36187.0,28884.0,14.7,11.7
21~30세,29573.0,39090.0,12.0,15.9
20세 이하,9260.0,13850.0,3.8,5.6
