교통수단,방한 외래관광객(명),비중(%)
기타항구,1367.0,0.1
제주항구,2040.0,0.2
인천항구,193.0,0.0
부산항구,362.0,0.0
기타공항,18189.0,1.8
제주공항,15157.0,1.5
김포공항,3635.0,0.4
김해공항,87970.0,8.6
인천공항,893483.0,87.4
