연령대,남성,여성,남성(비율),여성(비율)
61세 이상,14164.0,27238.0,1.4,2.7
51~60세,39522.0,64205.0,3.9,6.3
41~50세,99591.0,116713.0,9.8,11.4
31~40세,137601.0,146857.0,13.5,14.4
21~30세,92400.0,114073.0,9.1,11.2
20세 이하,78983.0,88175.0,7.7,8.6
