기준년도,재방문율(%),체재 기간(일),1인 평균 지출 경비(USS),1일 평균 지출 경비(USS),전반적 만족도(긍정 응답 비율),관광목적 재방문 의향(긍정 응답 비율),타인 추천 의향(긍정 응답 비율)
2018,51,20,2069.6,152.1,94.7,88.8,85.5
2019,62.1,16.5,1616,164.6,96.6,89.7,91.2
2020,100,,1633.2,,100,,91.2
2021,81.8,46.1,4417,100.7,100,100,100
2022,67.7,18.3,3067.4,255.8,96.8,93.5,93.5
2023,45.1,15.2,3351.8,344.9,98.7,97.9,99.3
2024,64.8, 10.9 ,2345.6,300.0,97.5,90.6,97.5
