기준년월,순위,값(%)
2022,1위,Qantas / Jetstar(14.8%)
2022,2위,Airbnb(12.4%)
2022,3위,Expedia(12.2%)
2022,4위,Flight centre(11.2%)
2022,5위,Skyscanner(9.4%)
2023,1위,활용 계획 없음(12.8%)
2023,2위,Qantas / Jetstar(11.4%)
2023,3위,Flight centre(11%)
2023,4위,Expedia(9.6%)
2023,5위,Skyscanner(9%)
2024,1위,Qantas / Jetstar(16.3%)
2024,2위,Airbnb(9.9%)
2024,3위,Expedia(9.7%)
2024,4위,Skyscanner(8.4%)
2024,5위,Flight centre(6.7%)
