연령대,남성,여성,남성(비율),여성(비율)
61세 이상,129349.0,129567.0,8.6,8.6
51~60세,117462.0,109389.0,7.8,7.2
41~50세,145778.0,114124.0,9.7,7.6
31~40세,148407.0,116424.0,9.8,7.7
21~30세,129293.0,145342.0,8.6,9.6
20세 이하,106661.0,117589.0,7.1,7.8
