기준년월,순위,값(%)
2022,1위,YouTube(22.4%)
2022,2위,Facebook(14%)
2022,3위,Instagram(13.4%)
2022,4위,Twitter(X)(10%)
2022,5위,Facebook Messenger(8.2%)
2023,1위,YouTube(28.8%)
2023,2위,Facebook(15.6%)
2023,3위,Instagram(14.2%)
2023,4위,활용 계획 없음(13.2%)
2023,5위,TikTok(7%)
2024,1위,YouTube(24.5%)
2024,2위,Instagram=TikTok=활용 계획 없음(11.4%)
2024,3위,Facebook(8%)
2024,4위,Netflix(6.7%)
2024,5위,Twitter(X)(3.9%)
