교통수단,방한 외래관광객(명),비중(%)
기타항구,12001.0,0.8
제주항구,15767.0,1.0
인천항구,14669.0,0.9
부산항구,98716.0,6.3
기타공항,4181.0,0.3
제주공항,14555.0,0.9
김포공항,48531.0,3.1
김해공항,72228.0,4.6
인천공항,1283632.0,82.1
